GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.core.usecases,CreateOrderImpl,1,3,0,0,1,1,1,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.core.usecases,ProcessOrderImpl,53,12,2,0,12,5,3,1,2,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.out.feign,FeignErrorDecoder,31,3,4,0,6,1,4,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.mapper,OrderMapper,29,0,0,0,11,0,3,0,3,0
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.mapper,FeignProductMapperImpl,64,3,6,0,17,1,5,1,2,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.mapper,FeignClientMapperImpl,28,3,2,0,10,1,2,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.mapper,FeignProductMapper,10,0,2,0,3,0,2,0,1,0
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.mapper,OrderMapperImpl,84,3,6,0,26,1,5,1,2,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.out.persistence.documents,ProductDocument,3,0,0,0,1,0,1,0,1,0
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.core.domain,Client,33,0,0,0,14,0,7,0,7,0
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.core.domain,Order,73,0,0,0,30,0,15,0,15,0
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.core.domain,Product,72,0,0,0,30,0,15,0,15,0
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.core.domain,Category,23,0,0,0,10,0,5,0,5,0
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.in.controller,OrderController,16,4,0,0,3,1,1,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats,TcFiapeatsMsPedidoApplication,5,3,0,0,2,1,1,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.impl,FeignFindProductPortImpl,7,9,0,0,1,4,1,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.impl,SaveOrderImpl,9,9,0,0,2,4,1,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.impl,FeignFindClientPortImpl,8,9,0,0,1,4,1,1,1,1
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.beans,BeanConfiguration,0,20,0,0,0,4,0,4,0,4
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.beans,SwaggerConfiguration,0,29,0,0,0,7,0,3,0,3
tc-fiapeats-ms-pedido,br.com.fiap.fiapeats.adapter.beans,FeignConfig,0,7,0,0,0,2,0,2,0,2
